"STFIPS","Total_cases","Total_population"
"Alabama",51770,24818755
"Alaska",12753,3980459
"Arizona",69408,36331209
"Arkansas",46656,15328243
"California",647625,204785907
"Colorado",319850,28979289
"Connecticut",267127,18335866
"Delaware",39390,4922476
"District of Columbia",21538,3573006
"Florida",170583,106924101
"Georgia",128571,53219604
"Hawaii",7041,9488786
"Idaho",7233,8810708
"Illinois",194687,65202963
"Indiana",91519,34057627
"Iowa",124294,16008550
"Kansas",44646,15012531
"Kentucky",77159,22699143
"Louisiana",28570,23746445
"Maine",36765,6801102
"Maryland",425416,31035901
"Massachusetts",334782,35157548
"Michigan",275157,51126746
"Minnesota",252943,28564989
"Mississippi",25392,15127273
"Missouri",157978,31269306
"Montana",14381,5404589
"Nebraska",46174,9798169
"Nevada",20422,15589916
"New Hampshire",14168,6862628
"New Jersey",347241,45457585
"New Mexico",5736,10746198
"New York",1200462,100576173
"North Carolina",245212,52575466
"North Dakota",14212,3869514
"Ohio",166763,59699534
"Oklahoma",53876,20924757
"Pennsylvania",91629,65359544
"Rhode Island",41307,5446209
"South Carolina",93111,25610214
"South Dakota",60095,4460482
"Tennessee",62641,34230435
"Texas",110334,144323139
"Utah",57858,15906744
"Vermont",37099,3184857
"Virginia",76424,43661425
"Washington",82119,38950388
"West Virginia",12614,9252657
"Wisconsin",82049,29545376
"Wyoming",10778,2969836
